mirna_name,P-value,FDR,Bonferroni,A,B,observed_ratio,C,D,expected_ratio,foldchange_enrichment
hsa-miR-134-3p,1.0,1.0,1.0,0,1352,0.0,10,26380,0.0003790750568612585,0.0
hsa-miR-134-5p,0.9699547990874268,1.0,1.0,35,1352,0.025887573964497042,905,26380,0.0343062926459439,0.7546013272745105
hsa-miR-1343-3p,0.0015555676235772151,1.0,1.0,93,1352,0.06878698224852071,1333,26380,0.05053070507960576,1.361290766478602
hsa-miR-135a-2-3p,0.9997888250156042,1.0,1.0,28,1352,0.020710059171597635,966,26380,0.036618650492797576,0.5655604150587429
hsa-miR-135a-3p,1.0,1.0,1.0,0,1352,0.0,22,26380,0.0008339651250947687,0.0
hsa-miR-135a-5p,0.963068866443422,1.0,1.0,23,1352,0.017011834319526627,622,26380,0.02357846853677028,0.7214986967027531
hsa-miR-135b-3p,0.9999987174022323,1.0,1.0,57,1352,0.04215976331360947,1894,26380,0.07179681576952236,0.587209374980474
hsa-miR-135b-5p,0.9999999999999615,1.0,1.0,45,1352,0.03328402366863906,2146,26380,0.08134950720242608,0.4091484363367653
hsa-miR-136-3p,0.9598743986450238,1.0,1.0,26,1352,0.019230769230769232,686,26380,0.026004548900682337,0.739515586454362
hsa-miR-136-5p,0.867371415218011,1.0,1.0,12,1352,0.008875739644970414,307,26380,0.011637604245640637,0.7626775629782395
hsa-miR-137-3p,0.9686933173195224,1.0,1.0,11,1352,0.008136094674556213,345,26380,0.013078089461713419,0.6221164565646171
hsa-miR-137-5p,0.7119359527043727,1.0,1.0,3,1352,0.0022189349112426036,71,26380,0.0026914329037149355,0.8244437036419702
hsa-miR-138-1-3p,0.9482855681907761,1.0,1.0,10,1352,0.0073964497041420114,301,26380,0.011410159211523881,0.6482336983231437
hsa-miR-138-2-3p,0.2696217484290303,1.0,1.0,36,1352,0.026627218934911243,629,26380,0.023843821076573162,1.1167345556485828
hsa-miR-138-5p,0.9999930377986838,1.0,1.0,148,1352,0.10946745562130178,3919,26380,0.1485595147839272,0.7368592700408118
hsa-miR-139-3p,0.6396321988229403,1.0,1.0,55,1352,0.040680473372781065,1116,26380,0.04230477634571645,0.9616047379695023
hsa-miR-139-5p,0.9999510870657724,1.0,1.0,350,1352,0.2588757396449704,8056,26380,0.30538286580742985,0.8477087899496425
hsa-miR-140-3p,0.9999999990368629,1.0,1.0,58,1352,0.042899408284023666,2185,26380,0.08282789992418499,0.5179342748432697
hsa-miR-140-5p,0.9995174567707114,1.0,1.0,77,1352,0.05695266272189349,2090,26380,0.07922668688400303,0.7188570538772968
hsa-miR-141-3p,0.9997112413537738,1.0,1.0,72,1352,0.05325443786982249,2004,26380,0.0759666413949962,0.7010239875279028
hsa-miR-141-5p,1.0,1.0,1.0,62,1352,0.04585798816568047,2962,26380,0.11228203184230477,0.4084178689435013
hsa-miR-142-3p,0.9995796424572306,1.0,1.0,79,1352,0.058431952662721894,2143,26380,0.0812357846853677,0.7192883393572579
hsa-miR-142-5p,0.9773728303095319,1.0,1.0,216,1352,0.15976331360946747,4736,26380,0.17952994692949203,0.8898978490324645
hsa-miR-143-3p,0.9999394410274768,1.0,1.0,79,1352,0.058431952662721894,2246,26380,0.08514025777103866,0.6863022757090844
